ID	Block	Trials	Practice	VideoStart	ITI	ITI_measured	Color	Conflict	Global	Local	Task	Video_pos	Video_dist	Video_present	Video_cat_cond	Video_cat	Video	VideoPlayed	VideoCheck	RT	DT	Visits	KeyPress	KeyColor	Correct	Reward	RewardCond
404	1	1	1	none	0.5	0.492864	green	1	down	down	GLO	right	far	0	intact	none	none	0	0	1.09549	0	1	right	green	1	0	0
404	1	2	1	none	0.5	0.517011	yellow	0	left	left	GLO	left	close	0	intact	none	none	0	0	0.832389	0	1	left	yellow	1	0	0
404	1	3	1	none	0.5	0.516318	green	0	right	right	GLO	left	far	0	intact	none	none	0	0	0.711249	0	1	right	green	1	0	0
404	1	4	1	none	0.5	0.5159	red	1	up	up	GLO	right	far	0	intact	none	none	0	0	1.38086	0	1	up	blue	0	0	0
404	1	5	1	none	0.5	0.5167	red	0	down	down	GLO	right	close	0	intact	none	none	0	0	0.984251	0	1	up	blue	0	0	0
404	1	6	1	none	0.5	0.51666	red	1	right	right	GLO	left	close	0	intact	none	none	0	0	0.725153	0	1	up	blue	0	0	0
404	1	7	1	none	0.5	0.517467	yellow	0	left	left	GLO	left	close	0	intact	none	none	0	0	1.21632	0	1	left	yellow	1	0	0
404	1	8	1	none	0.5	0.517234	green	0	right	right	GLO	left	far	0	intact	none	none	0	0	2.01572	0	1	right	green	1	0	0
404	1	9	1	none	0.5	0.51695	red	1	left	left	GLO	right	far	0	intact	none	none	0	0	0.915563	0	1	up	blue	0	0	0
404	1	10	1	none	0.5	0.51753	blue	0	up	up	GLO	right	close	0	intact	none	none	0	0	1.06635	0	1	down	red	0	0	0
404	1	11	1	none	0.5	0.516707	blue	1	right	right	GLO	right	far	0	intact	none	none	0	0	3.81599	0	1	down	red	0	0	0
404	1	12	1	none	0.5	0.516078	green	0	right	right	GLO	right	far	0	intact	none	none	0	0	1.41656	0	1	right	green	1	0	0
404	1	13	1	none	0.5	0.51636	green	1	down	down	GLO	left	close	0	intact	none	none	0	0	0.828269	0	1	right	green	1	0	0
404	1	14	1	none	0.5	0.516898	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	2.4346	0	1	up	blue	1	0	0
404	1	15	1	none	0.5	0.516432	blue	1	left	left	GLO	left	far	0	intact	none	none	0	0	2.39984	0	1	up	blue	1	0	0
404	1	16	1	none	0.5	0.516832	yellow	1	down	down	GLO	right	close	0	intact	none	none	0	0	2.23217	0	1	left	yellow	1	0	0
404	1	17	1	none	0.5	0.516437	yellow	1	down	down	GLO	right	close	0	intact	none	none	0	0	0.98391	0	1	left	yellow	1	0	0
404	1	18	1	none	0.5	0.51725	yellow	1	down	down	GLO	right	far	0	intact	none	none	0	0	0.866903	0	1	left	yellow	1	0	0
404	1	19	1	none	0.5	0.516902	blue	1	right	right	GLO	left	far	0	intact	none	none	0	0	2.099	0	1	down	red	0	0	0
