ID	Block	Trials	Practice	VideoStart	ITI	ITI_measured	Color	Conflict	Global	Local	Task	Video_pos	Video_dist	Video_present	Video_cat_cond	Video_cat	Video	VideoPlayed	VideoCheck	RT	DT	Visits	KeyPress	KeyColor	Correct	Reward	RewardCond
416	1	1	1	none	0.5	8.78836	yellow	0	left	left	GLO	left	close	0	intact	none	none	0	0	1.19765	0	1	left	yellow	1	0	0
416	1	2	1	none	0.5	0.513129	red	0	down	down	GLO	left	far	0	intact	none	none	0	0	1.25867	0	1	down	red	1	0	0
416	1	3	1	none	0.5	0.512278	yellow	0	left	left	GLO	right	far	0	intact	none	none	0	0	0.968958	0	1	left	yellow	1	0	0
416	1	4	1	none	0.5	0.514927	blue	1	down	down	GLO	right	close	0	intact	none	none	0	0	1.33776	0	1	up	blue	1	0	0
416	1	5	1	none	0.5	0.51108	red	1	up	up	GLO	left	close	0	intact	none	none	0	0	1.22858	0	1	down	red	1	0	0
416	1	6	1	none	0.5	0.51489	blue	0	up	up	GLO	right	close	0	intact	none	none	0	0	0.774184	0	1	up	blue	1	0	0
416	1	7	1	none	0.5	0.508089	red	1	left	left	GLO	right	far	0	intact	none	none	0	0	1.14798	0	1	down	red	1	0	0
416	1	8	1	none	0.5	0.514008	red	1	left	left	GLO	right	close	0	intact	none	none	0	0	0.675563	0	1	down	red	1	0	0
416	1	9	1	none	0.5	0.514398	red	0	down	down	GLO	left	close	0	intact	none	none	0	0	0.515611	0	1	down	red	1	0	0
416	1	10	1	none	0.5	0.515351	green	0	right	right	GLO	left	far	0	intact	none	none	0	0	0.991373	0	1	right	green	1	0	0
416	1	11	1	none	0.5	0.513902	blue	1	right	right	GLO	right	far	0	intact	none	none	0	0	1.03269	0	1	up	blue	1	0	0
416	1	12	1	none	0.5	0.515135	green	1	left	left	GLO	left	far	0	intact	none	none	0	0	2.50816	0	1	right	green	1	0	0
416	1	13	1	none	0.5	0.5133	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.948783	0	1	up	blue	1	0	0
416	1	14	1	none	0.5	0.51574	blue	1	down	down	GLO	right	close	0	intact	none	none	0	0	0.885939	0	1	up	blue	1	0	0
416	1	15	1	none	0.5	0.514504	green	0	right	right	GLO	left	far	0	intact	none	none	0	0	1.42751	0	1	right	green	1	0	0
416	1	16	1	none	0.5	0.514266	blue	0	up	up	GLO	right	far	0	intact	none	none	0	0	0.69965	0	1	up	blue	1	0	0
416	1	17	1	none	0.5	0.515726	blue	1	left	left	GLO	right	close	0	intact	none	none	0	0	0.642178	0	1	up	blue	1	0	0
416	1	18	1	none	0.5	0.515596	green	0	right	right	GLO	left	far	0	intact	none	none	0	0	0.881419	0	1	right	green	1	0	0
416	1	19	1	none	0.5	0.515131	green	1	up	up	GLO	right	close	0	intact	none	none	0	0	0.654589	0	1	up	blue	0	0	0
416	1	20	1	none	0.5	0.513994	blue	1	left	left	GLO	left	close	0	intact	none	none	0	0	0.679866	0	1	up	blue	1	0	0
416	1	21	1	none	0.5	0.51633	yellow	0	left	left	GLO	left	far	0	intact	none	none	0	0	1.36517	0	1	left	yellow	1	0	0
