ID	Block	Trials	Practice	VideoStart	ITI	ITI_measured	Color	Conflict	Global	Local	Task	Video_pos	Video_dist	Video_present	Video_cat_cond	Video_cat	Video	VideoPlayed	VideoCheck	RT	DT	Visits	KeyPress	KeyColor	Correct	Reward	RewardCond
415	1	1	1	none	1.5	1.48769	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	1.55398	0	1	down	red	1	0	0
415	1	2	1	none	1.5	1.51277	green	1	up	up	GLO	left	close	0	intact	none	none	0	0	1.79463	0	1	right	green	1	0	0
415	1	3	1	none	1.5	1.51356	green	1	left	left	GLO	right	far	0	intact	none	none	0	0	0.805178	0	1	right	green	1	0	0
415	1	4	1	none	1.5	1.51106	blue	0	up	up	GLO	right	close	0	intact	none	none	0	0	1.01888	0	1	up	blue	1	0	0
415	1	5	1	none	1.5	1.51172	yellow	1	up	up	GLO	right	close	0	intact	none	none	0	0	0.65115	0	1	left	yellow	1	0	0
415	1	6	1	none	1.5	1.51197	red	0	down	down	GLO	left	close	0	intact	none	none	0	0	0.606053	0	1	down	red	1	0	0
415	1	7	1	none	1.5	1.51374	yellow	0	left	left	GLO	left	far	0	intact	none	none	0	0	1.33843	0	1	left	yellow	1	0	0
415	1	8	1	none	1.5	1.51356	yellow	0	left	left	GLO	left	close	0	intact	none	none	0	0	0.496973	0	1	left	yellow	1	0	0
415	1	9	1	none	1.5	1.51357	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	1.01084	0	1	up	blue	1	0	0
415	1	10	1	none	1.5	1.51437	green	1	down	down	GLO	left	close	0	intact	none	none	0	0	0.996384	0	1	right	green	1	0	0
415	1	11	1	none	1.5	1.51457	green	0	right	right	GLO	right	close	0	intact	none	none	0	0	0.529007	0	1	right	green	1	0	0
415	1	12	1	none	1.5	1.51518	red	0	down	down	GLO	left	far	0	intact	none	none	0	0	1.27671	0	1	down	red	1	0	0
415	1	13	1	none	1.5	1.51522	blue	0	up	up	GLO	right	close	0	intact	none	none	0	0	0.564376	0	1	up	blue	1	0	0
415	1	14	1	none	1.5	1.51396	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.582168	0	1	up	blue	1	0	0
415	1	15	1	none	1.5	1.51387	yellow	1	up	up	GLO	right	far	0	intact	none	none	0	0	0.799103	0	1	left	yellow	1	0	0
415	1	16	1	none	1.5	1.51396	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.563967	0	1	up	blue	1	0	0
415	1	17	1	none	1.5	1.51297	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	0.990602	0	1	down	red	1	0	0
415	1	18	1	none	1.5	1.51352	yellow	1	right	right	GLO	right	close	0	intact	none	none	0	0	0.681841	0	1	left	yellow	1	0	0
