ID	Block	Trials	Practice	VideoStart	ITI	ITI_measured	Color	Conflict	Global	Local	Task	Video_pos	Video_dist	Video_present	Video_cat_cond	Video_cat	Video	VideoPlayed	VideoCheck	RT	DT	Visits	KeyPress	KeyColor	Correct	Reward	RewardCond
411	1	1	1	none	1.5	1.48815	yellow	0	left	left	GLO	left	close	0	intact	none	none	0	0	0.521902	0	1	left	yellow	1	0	0
411	1	2	1	none	1.5	1.51185	blue	1	left	left	GLO	right	close	0	intact	none	none	0	0	0.823576	0	1	up	blue	1	0	0
411	1	3	1	none	1.5	1.51511	green	1	left	left	GLO	left	far	0	intact	none	none	0	0	0.803481	0	1	right	green	1	0	0
411	1	4	1	none	1.5	1.5138	green	1	left	left	GLO	right	far	0	intact	none	none	0	0	0.605649	0	1	right	green	1	0	0
411	1	5	1	none	1.5	1.51706	green	1	down	down	GLO	left	far	0	intact	none	none	0	0	0.652534	0	1	right	green	1	0	0
411	1	6	1	none	1.5	1.51446	yellow	0	left	left	GLO	left	close	0	intact	none	none	0	0	0.529049	0	1	left	yellow	1	0	0
411	1	7	1	none	1.5	1.51315	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.776012	0	1	up	blue	1	0	0
411	1	8	1	none	1.5	1.51632	green	1	down	down	GLO	left	far	0	intact	none	none	0	0	0.648586	0	1	right	green	1	0	0
411	1	9	1	none	1.5	1.51414	green	0	right	right	GLO	left	close	0	intact	none	none	0	0	0.545698	0	1	right	green	1	0	0
411	1	10	1	none	1.5	1.51297	blue	0	up	up	GLO	right	far	0	intact	none	none	0	0	1.04889	0	1	up	blue	1	0	0
411	1	11	1	none	1.5	1.51525	yellow	1	right	right	GLO	left	far	0	intact	none	none	0	0	0.627423	0	1	left	yellow	1	0	0
411	1	12	1	none	1.5	1.51365	blue	1	right	right	GLO	right	far	0	intact	none	none	0	0	0.731862	0	1	right	green	0	0	0
411	1	13	1	none	1.5	1.51391	red	1	up	up	GLO	right	far	0	intact	none	none	0	0	1.12374	0	1	down	red	1	0	0
411	1	14	1	none	1.5	1.51596	blue	0	up	up	GLO	right	close	0	intact	none	none	0	0	0.848354	0	1	up	blue	1	0	0
411	1	15	1	none	1.5	1.51509	green	1	down	down	GLO	left	far	0	intact	none	none	0	0	0.798027	0	1	right	green	1	0	0
411	1	16	1	none	1.5	1.51551	green	1	up	up	GLO	right	far	0	intact	none	none	0	0	0.572758	0	1	right	green	1	0	0
411	1	17	1	none	1.5	1.51391	red	0	down	down	GLO	right	close	0	intact	none	none	0	0	1.1459	0	1	down	red	1	0	0
411	1	18	1	none	1.5	1.51476	blue	0	up	up	GLO	right	far	0	intact	none	none	0	0	0.982876	0	1	up	blue	1	0	0
411	1	19	1	none	1.5	1.5132	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.715706	0	1	up	blue	1	0	0
411	1	20	1	none	1.5	1.51103	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.632276	0	1	up	blue	1	0	0
411	1	21	1	none	1.5	1.51464	red	1	left	left	GLO	right	far	0	intact	none	none	0	0	0.965244	0	1	down	red	1	0	0
411	1	22	1	none	1.5	1.51407	green	1	up	up	GLO	left	far	0	intact	none	none	0	0	1.00108	0	1	right	green	1	0	0
411	1	23	1	none	1.5	1.51556	red	0	down	down	GLO	right	close	0	intact	none	none	0	0	1.24776	0	1	down	red	1	0	0
411	1	24	1	none	1.5	1.51427	red	1	up	up	GLO	right	close	0	intact	none	none	0	0	0.881128	0	1	down	red	1	0	0
411	1	25	1	none	1.5	1.513	green	1	up	up	GLO	left	close	0	intact	none	none	0	0	0.848363	0	1	right	green	1	0	0
411	1	26	1	none	1.5	1.51282	red	0	down	down	GLO	left	far	0	intact	none	none	0	0	0.781949	0	1	down	red	1	0	0
411	1	27	1	none	1.5	1.5144	blue	1	down	down	GLO	left	far	0	intact	none	none	0	0	0.614168	0	1	up	blue	1	0	0
411	1	28	1	none	1.5	1.51378	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	0.671379	0	1	down	red	1	0	0
411	1	29	1	none	1.5	1.51261	green	1	up	up	GLO	left	far	0	intact	none	none	0	0	0.723981	0	1	right	green	1	0	0
411	1	30	1	none	1.5	1.51568	yellow	0	left	left	GLO	right	far	0	intact	none	none	0	0	0.662664	0	1	left	yellow	1	0	0
411	1	31	1	none	1.5	1.51426	yellow	1	down	down	GLO	left	far	0	intact	none	none	0	0	0.600129	0	1	left	yellow	1	0	0
411	1	32	1	none	1.5	1.51106	blue	1	left	left	GLO	right	far	0	intact	none	none	0	0	1.09787	0	1	up	blue	1	0	0
411	1	33	1	none	1.5	1.51357	blue	1	down	down	GLO	left	close	0	intact	none	none	0	0	0.543631	0	1	up	blue	1	0	0
411	1	34	1	none	1.5	1.51305	red	1	left	left	GLO	left	far	0	intact	none	none	0	0	0.832008	0	1	down	red	1	0	0
411	1	35	1	none	1.5	1.51348	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	0.574409	0	1	down	red	1	0	0
