ID	Block	Trials	Practice	VideoStart	ITI	ITI_measured	Color	Conflict	Global	Local	Task	Video_pos	Video_dist	Video_present	Video_cat_cond	Video_cat	Video	VideoPlayed	VideoCheck	RT	DT	Visits	KeyPress	KeyColor	Correct	Reward	RewardCond
409	1	1	1	none	1.5	1.48537	blue	0	up	up	GLO	right	close	0	intact	none	none	0	0	2.51346	0	1	up	blue	1	0	0
409	1	2	1	none	1.5	1.51292	red	0	down	down	GLO	left	close	0	intact	none	none	0	0	2.2918	0	1	down	red	1	0	0
409	1	3	1	none	1.5	1.51357	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	1.67378	0	1	up	blue	1	0	0
409	1	4	1	none	1.5	1.51626	red	1	left	left	GLO	right	far	0	intact	none	none	0	0	1.49042	0	1	down	red	1	0	0
409	1	5	1	none	1.5	1.51407	blue	0	up	up	GLO	left	close	0	intact	none	none	0	0	0.976185	0	1	up	blue	1	0	0
409	1	6	1	none	1.5	1.51269	yellow	1	right	right	GLO	left	far	0	intact	none	none	0	0	1.48419	0	1	left	yellow	1	0	0
409	1	7	1	none	1.5	1.51109	green	1	down	down	GLO	left	far	0	intact	none	none	0	0	1.23036	0	1	right	green	1	0	0
409	1	8	1	none	1.5	1.50958	yellow	0	left	left	GLO	right	far	0	intact	none	none	0	0	0.839903	0	1	left	yellow	1	0	0
409	1	9	1	none	1.5	1.5115	yellow	1	down	down	GLO	left	close	0	intact	none	none	0	0	0.781613	0	1	left	yellow	1	0	0
409	1	10	1	none	1.5	1.51572	red	1	up	up	GLO	left	close	0	intact	none	none	0	0	1.43362	0	1	down	red	1	0	0
409	1	11	1	none	1.5	1.51534	green	1	up	up	GLO	left	close	0	intact	none	none	0	0	1.19137	0	1	right	green	1	0	0
409	1	12	1	none	1.5	1.51526	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	1.37081	0	1	up	blue	1	0	0
409	1	13	1	none	1.5	1.51275	red	0	down	down	GLO	left	far	0	intact	none	none	0	0	0.979705	0	1	down	red	1	0	0
409	1	14	1	none	1.5	1.51477	red	1	right	right	GLO	right	close	0	intact	none	none	0	0	1.13718	0	1	down	red	1	0	0
409	1	15	1	none	1.5	1.51431	green	0	right	right	GLO	right	far	0	intact	none	none	0	0	1.288	0	1	right	green	1	0	0
409	1	16	1	none	1.5	1.51599	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	1.42792	0	1	down	red	1	0	0
409	1	17	1	none	1.5	1.51631	blue	1	down	down	GLO	right	close	0	intact	none	none	0	0	0.885924	0	1	up	blue	1	0	0
409	1	18	1	none	1.5	1.51493	blue	0	up	up	GLO	left	close	0	intact	none	none	0	0	0.877353	0	1	up	blue	1	0	0
409	1	19	1	none	1.5	1.51656	blue	0	up	up	GLO	right	far	0	intact	none	none	0	0	0.740112	0	1	up	blue	1	0	0
409	1	20	1	none	1.5	1.51564	red	0	down	down	GLO	left	close	0	intact	none	none	0	0	0.932914	0	1	down	red	1	0	0
409	1	21	1	none	1.5	1.51668	blue	0	up	up	GLO	right	far	0	intact	none	none	0	0	0.908297	0	1	up	blue	1	0	0
409	1	22	1	none	1.5	1.5134	red	1	up	up	GLO	right	close	0	intact	none	none	0	0	0.917151	0	1	down	red	1	0	0
409	1	23	1	none	1.5	1.51116	blue	1	down	down	GLO	left	close	0	intact	none	none	0	0	0.716514	0	1	up	blue	1	0	0
409	1	24	1	none	1.5	1.51199	blue	1	down	down	GLO	right	close	0	intact	none	none	0	0	0.655223	0	1	up	blue	1	0	0
409	1	25	1	none	1.5	1.51256	red	0	down	down	GLO	left	close	0	intact	none	none	0	0	0.59971	0	1	down	red	1	0	0
409	1	26	1	none	1.5	1.51361	yellow	0	left	left	GLO	right	close	0	intact	none	none	0	0	1.04123	0	1	left	yellow	1	0	0
409	1	27	1	none	1.5	1.51431	blue	1	down	down	GLO	right	far	0	intact	none	none	0	0	0.908623	0	1	up	blue	1	0	0
409	1	28	1	none	1.5	1.51198	yellow	0	left	left	GLO	right	far	0	intact	none	none	0	0	1.1535	0	1	left	yellow	1	0	0
409	1	29	1	none	1.5	1.51568	green	1	up	up	GLO	left	close	0	intact	none	none	0	0	0.670401	0	1	right	green	1	0	0
409	1	30	1	none	1.5	1.51301	yellow	0	left	left	GLO	left	far	0	intact	none	none	0	0	0.500593	0	1	left	yellow	1	0	0
409	1	31	1	none	1.5	1.51176	blue	1	right	right	GLO	left	far	0	intact	none	none	0	0	0.608976	0	1	up	blue	1	0	0
409	1	32	1	none	0.5	0.511472	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.700041	0	1	up	blue	1	0	0
409	1	33	1	none	0.5	0.511888	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	0.683018	0	1	down	red	1	0	0
409	1	34	1	none	0.5	0.509183	yellow	1	right	right	GLO	right	close	0	intact	none	none	0	0	0.800031	0	1	left	yellow	1	0	0
409	1	35	1	none	0.5	0.51341	yellow	1	down	down	GLO	left	far	0	intact	none	none	0	0	0.700872	0	1	left	yellow	1	0	0
409	1	36	1	none	0.5	0.514735	yellow	0	left	left	GLO	right	close	0	intact	none	none	0	0	0.551082	0	1	left	yellow	1	0	0
409	1	37	1	none	0.5	0.51191	yellow	0	left	left	GLO	right	far	0	intact	none	none	0	0	0.550149	0	1	left	yellow	1	0	0
409	1	38	1	none	0.5	0.515271	blue	0	up	up	GLO	right	close	0	intact	none	none	0	0	0.796853	0	1	up	blue	1	0	0
409	1	39	1	none	0.5	0.511781	blue	0	up	up	GLO	right	far	0	intact	none	none	0	0	0.65028	0	1	up	blue	1	0	0
409	1	40	1	none	0.5	0.513993	red	0	down	down	GLO	left	close	0	intact	none	none	0	0	0.705535	0	1	down	red	1	0	0
409	1	41	1	none	0.5	0.513826	red	0	down	down	GLO	left	close	0	intact	none	none	0	0	0.700487	0	1	down	red	1	0	0
409	1	42	1	none	0.5	0.511174	red	1	up	up	GLO	left	close	0	intact	none	none	0	0	1.5627	0	1	down	red	1	0	0
409	1	43	1	none	0.5	0.512914	green	1	left	left	GLO	left	close	0	intact	none	none	0	0	0.981141	0	1	right	green	1	0	0
409	1	44	1	none	0.5	0.514383	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	0.833836	0	1	down	red	1	0	0
409	1	45	1	none	0.5	0.509961	yellow	1	right	right	GLO	left	close	0	intact	none	none	0	0	0.750326	0	1	left	yellow	1	0	0
409	1	46	1	none	0.5	0.512961	green	0	right	right	GLO	right	close	0	intact	none	none	0	0	0.617144	0	1	right	green	1	0	0
409	1	47	1	none	0.5	0.512073	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	1.48301	0	1	up	blue	1	0	0
409	1	48	1	none	0.5	0.51475	green	0	right	right	GLO	left	close	0	intact	none	none	0	0	1.14996	0	1	right	green	1	0	0
409	1	49	1	none	0.5	0.510839	blue	1	left	left	GLO	left	far	0	intact	none	none	0	0	1.16756	0	1	up	blue	1	0	0
409	1	50	1	none	0.5	0.513965	green	1	up	up	GLO	left	close	0	intact	none	none	0	0	0.932441	0	1	right	green	1	0	0
409	1	51	1	none	0.5	0.513458	blue	0	up	up	GLO	left	close	0	intact	none	none	0	0	0.684024	0	1	up	blue	1	0	0
409	1	52	1	none	0.5	0.512219	red	1	left	left	GLO	right	far	0	intact	none	none	0	0	1.12994	0	1	down	red	1	0	0
409	1	53	1	none	0.5	0.514542	yellow	0	left	left	GLO	right	far	0	intact	none	none	0	0	0.899567	0	1	left	yellow	1	0	0
409	1	54	1	none	0.5	0.513595	blue	1	right	right	GLO	right	close	0	intact	none	none	0	0	0.814414	0	1	up	blue	1	0	0
409	1	55	1	none	0.5	0.512601	yellow	0	left	left	GLO	right	close	0	intact	none	none	0	0	0.847128	0	1	left	yellow	1	0	0
409	1	56	1	none	0.5	0.511033	green	0	right	right	GLO	left	far	0	intact	none	none	0	0	0.63251	0	1	right	green	1	0	0
409	1	57	1	none	0.5	0.516441	blue	0	up	up	GLO	left	far	0	intact	none	none	0	0	0.543118	0	1	up	blue	1	0	0
409	1	58	1	none	0.5	0.516538	red	1	left	left	GLO	left	far	0	intact	none	none	0	0	0.582826	0	1	down	red	1	0	0
409	1	59	1	none	0.5	0.512285	red	0	down	down	GLO	left	far	0	intact	none	none	0	0	0.750286	0	1	down	red	1	0	0
409	1	60	1	none	0.5	0.513482	red	1	up	up	GLO	right	far	0	intact	none	none	0	0	0.486368	0	1	down	red	1	0	0
409	1	61	1	none	0.5	0.515981	blue	1	left	left	GLO	right	close	0	intact	none	none	0	0	0.618694	0	1	left	yellow	0	0	0
409	1	62	1	none	0.5	0.512376	blue	1	right	right	GLO	left	far	0	intact	none	none	0	0	0.847096	0	1	up	blue	1	0	0
