ID	Block	Trials	Practice	VideoStart	ITI	ITI_measured	Color	Conflict	Global	Local	Task	Video_pos	Video_dist	Video_present	Video_cat_cond	Video_cat	Video	VideoPlayed	VideoCheck	RT	DT	Visits	KeyPress	KeyColor	Correct	Reward	RewardCond
401	1	1	1	none	1.5	1.45611	green	0	right	right	GLO	right	close	0	intact	none	none	0	0	1.32907	0	1	right	green	1	0	0
401	1	2	1	none	1.5	1.51667	red	0	down	down	GLO	left	far	0	intact	none	none	0	0	1.09895	0	1	down	red	1	0	0
401	1	3	1	none	1.5	1.51639	red	1	left	left	GLO	right	far	0	intact	none	none	0	0	2.22097	0	1	left	yellow	0	0	0
401	1	4	1	none	1.5	1.51767	yellow	1	down	down	GLO	left	far	0	intact	none	none	0	0	1.35307	0	1	right	green	0	0	0
401	1	5	1	none	1.5	1.51662	yellow	0	left	left	GLO	right	far	0	intact	none	none	0	0	2.04547	0	1	up	blue	0	0	0
401	1	6	1	none	1.5	1.51704	blue	0	up	up	GLO	left	close	0	intact	none	none	0	0	1.52519	0	1	up	blue	1	0	0
401	1	7	1	none	1.5	1.51656	red	1	right	right	GLO	right	far	0	intact	none	none	0	0	1.24639	0	1	down	red	1	0	0
401	1	8	1	none	1.5	1.51731	yellow	1	down	down	GLO	left	far	0	intact	none	none	0	0	0.782014	0	1	right	green	0	0	0
401	1	9	1	none	1.5	1.51649	green	0	right	right	GLO	right	close	0	intact	none	none	0	0	0.793392	0	1	right	green	1	0	0
401	1	10	1	none	1.5	1.51649	red	1	left	left	GLO	right	close	0	intact	none	none	0	0	0.917117	0	1	left	yellow	0	0	0
401	1	11	1	none	1.5	1.5156	red	0	down	down	GLO	left	close	0	intact	none	none	0	0	0.899695	0	1	down	red	1	0	0
401	1	12	1	none	1.5	1.5168	green	1	up	up	GLO	left	close	0	intact	none	none	0	0	0.850998	0	1	right	green	1	0	0
401	1	13	1	none	1.5	1.51651	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	1.03237	0	1	down	red	1	0	0
401	1	14	1	none	1.5	1.51651	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	0.666594	0	1	down	red	1	0	0
401	1	15	1	none	1.5	1.51627	red	1	up	up	GLO	right	close	0	intact	none	none	0	0	0.98364	0	1	down	red	1	0	0
401	1	16	1	none	1.5	1.51639	green	0	right	right	GLO	left	close	0	intact	none	none	0	0	0.727761	0	1	right	green	1	0	0
401	1	17	1	none	1.5	1.51706	yellow	1	down	down	GLO	left	far	0	intact	none	none	0	0	0.851048	0	1	left	yellow	1	0	0
401	1	18	1	none	1.5	1.51646	yellow	1	up	up	GLO	right	close	0	intact	none	none	0	0	0.981578	0	1	left	yellow	1	0	0
401	1	19	1	none	1.5	1.51615	blue	0	up	up	GLO	right	close	0	intact	none	none	0	0	0.816034	0	1	up	blue	1	0	0
401	1	20	1	none	1.5	1.51698	red	0	down	down	GLO	right	far	0	intact	none	none	0	0	1.01262	0	1	right	green	0	0	0
401	1	21	1	none	1.5	1.51665	red	1	right	right	GLO	left	far	0	intact	none	none	0	0	0.810588	0	1	right	green	0	0	0
